task,sigma_pa,sigma_pb,sigma_a_given_b,sigma_b_given_a,selected_policy,selected_weight,selected_lambda,oracle_full_family_method,oracle_full_family_nll,nll_j1,nll_j2,nll_arithmetic,nll_geometric,nll_hard_core,nll_soft_core_1,nll_selective_core
0,0.695532232475372,0.6059052854628818,0.4107025474904507,0.7272481982233283,geometric,0.5,,arithmetic,1.5216527775335644,1.5606161389224824,1.6422297532773311,1.5216527775335644,1.5236827324508717,1.722930862532144,1.5617183771743113,1.5236827324508717
1,0.17628330564938235,0.6077482094315092,0.4884389669097838,0.2480865447304947,j2_a_then_b,,,soft_w0_l0.1,1.484743104752905,1.600563054225632,1.485164256505008,1.50185924212606,1.5048918375110298,1.5994716107339055,1.5242382712394709,1.485164256505008
2,0.1510583346004596,0.06797743922747394,0.10077740106737831,0.12735965187943946,geometric,0.5,,geometric_w0.75,1.44745178242078,1.44828188169027,1.45343728460957,1.4480307129699117,1.4480355159296683,1.454922882271684,1.4493565003734026,1.4480355159296683
3,0.10667621620703874,0.2477282710786269,0.12193201500729217,0.07098571322071433,geometric,0.25,,geometric_w0.25,1.393762190383606,1.4077393761866683,1.394275110501765,1.3957897463133373,1.3958460294229864,1.4173825530524542,1.3998533960863595,1.393762190383606
4,0.08270374471694333,0.31144566069519936,0.3336226753436496,0.21154627484466718,soft,0.25,0.1,geometric_w0.25,1.4940166876308922,1.5296903337231411,1.4956379372038358,1.4989037681799662,1.4992105702392309,1.530476401128242,1.503257809157502,1.494356543597221
5,0.07678048799529076,0.5604335763273713,0.12025703387489543,0.08953272833713032,geometric,0.25,,j2,1.4757781299908361,1.5556392266663925,1.4757781299908361,1.4929352360699377,1.494737597939003,1.5935617755705953,1.5142300731421607,1.4798465496422761
6,0.05419401208888809,0.12119497978551692,0.04995975497462976,0.3604934986768657,soft,1.0,3.0,soft_w0.75_l0.3,1.4652299671685352,1.4656674169734332,1.4825317333977897,1.468062838850357,1.4680579536903267,1.471170980337945,1.4673965066057495,1.465922094261196
7,0.3133250989235859,0.233808038441532,0.37092887991116047,0.041035798719168785,geometric,0.25,,arithmetic,1.5482967919987385,1.5760638574039851,1.5574985531768177,1.5482967919987385,1.5485423266529987,1.5722693462273825,1.555733838618374,1.5484748976746066
8,0.197126353466751,0.21609745776805203,0.13856778246965135,0.22669887130132627,geometric,0.75,,geometric_w0.5,1.5269719092592497,1.5327579028988447,1.5373020000032083,1.5270123741615693,1.5269719092592497,1.5404349395195516,1.531364990876268,1.527838898112461
9,0.065325030133405,0.16824346126784948,0.1444703680846143,0.6587590359700382,soft,0.75,0.3,soft_w1_l1,1.4434294958186733,1.4455223555726215,1.501094391733706,1.4539393295352179,1.454620117011808,1.455668274072745,1.4499927699101336,1.444312084729127
10,0.08147105598504975,0.12135683314967494,0.5617740948948609,0.3397263293746339,soft,0.25,1.0,soft_w0.25_l3,1.5319842470652107,1.5858798643762189,1.543925624049633,1.541707646193342,1.5424826192797971,1.537178621483157,1.5353541616175346,1.5325334343349382
11,0.1278778628047496,0.17197805675833494,0.07362960023377162,0.1507816430794728,geometric,0.5,,arithmetic,1.4337974254687451,1.4380414064662757,1.4373059835011568,1.4337974254687451,1.4338073631055883,1.4480552580540846,1.4360319358760802,1.4338073631055883
