task,sigma_pa,sigma_pb,sigma_a_given_b,sigma_b_given_a,selected_policy,selected_weight,selected_lambda,oracle_full_family_method,oracle_full_family_nll,nll_j1,nll_j2,nll_arithmetic,nll_geometric,nll_hard_core,nll_soft_core_1,nll_selective_core
0,0.695532232475372,0.6059052854628818,0.4107025474904507,0.7272481982233283,arithmetic,,,geometric_w0.75,1.5064483868926724,1.542813484427676,1.6269113508524153,1.5076816291415756,1.5085710041766676,1.7052751902009644,1.546102578769335,1.5076816291415756
1,0.17628330564938235,0.6077482094315092,0.4884389669097838,0.2480865447304947,soft,0.0,0.03,soft_w0_l0.1,1.4650157084816282,1.5688334846645187,1.4652002909229414,1.4812177083034967,1.4829932686735354,1.5214282965498478,1.4942825877488406,1.4650314301187615
2,0.1510583346004596,0.06797743922747394,0.10077740106737831,0.12735965187943946,geometric,0.75,,geometric_w0.75,1.513037679542659,1.5138938712295356,1.519658871836019,1.513708236027007,1.5137168420768221,1.521912413466259,1.514970601765368,1.513037679542659
3,0.10667621620703874,0.2477282710786269,0.12193201500729217,0.07098571322071433,geometric,0.5,,geometric_w0.25,1.4869985535526005,1.4986162112284263,1.4877414572918206,1.488559337177187,1.4885607549365796,1.4981436974380102,1.4922888361265476,1.4885607549365796
4,0.08270374471694333,0.31144566069519936,0.3336226753436496,0.21154627484466718,soft,0.0,0.3,geometric_w0.25,1.4334027582877034,1.4690513217179164,1.434601545020008,1.4384532283891074,1.4387991892005707,1.4648877899994512,1.441772576895941,1.4340916562488544
5,0.07678048799529076,0.5604335763273713,0.12025703387489543,0.08953272833713032,j2_a_then_b,,,soft_w0_l0.03,1.4740546663506002,1.5482272243965811,1.474057111716011,1.489811195983983,1.4913944113848239,1.576489806214658,1.510885618539641,1.474057111716011
6,0.05419401208888809,0.12119497978551692,0.04995975497462976,0.3604934986768657,geometric,0.5,,soft_w1_l1,1.4298583430047416,1.4302218693739028,1.4502079692252943,1.4332000595567331,1.4333900652173865,1.4345699132622,1.4318445043030203,1.4333900652173865
7,0.3133250989235859,0.233808038441532,0.37092887991116047,0.041035798719168785,geometric,0.25,,arithmetic,1.4045679817893344,1.4263014638624756,1.4130868220682908,1.4045679817893344,1.404691075103457,1.443536046918911,1.4111297898141246,1.405136065395625
8,0.197126353466751,0.21609745776805203,0.13856778246965135,0.22669887130132627,geometric,0.5,,arithmetic,1.3320378878837438,1.336679021596719,1.3420904958758497,1.3320378878837438,1.332041370531393,1.3456642380999657,1.3356049841836535,1.332041370531393
9,0.065325030133405,0.16824346126784948,0.1444703680846143,0.6587590359700382,soft,0.75,1.0,soft_w1_l1,1.5249548703489928,1.5270926152104252,1.59786217236283,1.5379363847360876,1.5395157760759794,1.5365416583552343,1.5326638054842172,1.525526627039965
10,0.08147105598504975,0.12135683314967494,0.5617740948948609,0.3397263293746339,soft,0.5,10.0,soft_w0.25_l3,1.5026087325525614,1.5685726095541839,1.5133214804816977,1.5155176465961333,1.5167494800876113,1.5056397627002946,1.507348229538134,1.5051306706678227
11,0.1278778628047496,0.17197805675833494,0.07362960023377162,0.1507816430794728,geometric,0.75,,arithmetic,1.4877903567018036,1.4913110113022319,1.492033132519898,1.4877903567018036,1.487793329118064,1.500020980867127,1.4902013818058761,1.488582161150974
12,0.08540784472524249,0.1249919831670489,0.4706584215347642,0.13161783362822496,j2_a_then_b,,,soft_w0_l0.3,1.4874007091167685,1.5358748693907358,1.487863155284322,1.4970539624852326,1.4977424601140228,1.4934495445772509,1.4929854641837526,1.487863155284322
13,0.04267955605131936,0.1070259887507833,0.3177227277370155,0.14669741515731058,soft,0.0,1.0,soft_w0.25_l1,1.4380265491666653,1.4564374759576302,1.4394276608440828,1.441233637583443,1.4413303527172774,1.4403234517959669,1.4396546240016872,1.4381695005237867
14,0.04013155142691455,0.1092025728498632,0.08355297666525015,0.13800983279561335,soft,1.0,3.0,soft_w0.5_l0.1,1.4014174680354097,1.4034055704505148,1.4030733779426554,1.4014193482639419,1.4014225134617675,1.4034673825215023,1.4016758139621837,1.4027388922811908
15,0.18712909655208976,0.06483756469609957,0.6669946271518207,0.1019857160728148,soft,0.0,1.0,soft_w0_l1,1.4131754470999933,1.4756753825199407,1.4146093651397094,1.4239356357413921,1.4248192435931617,1.426957484276683,1.4199174795319869,1.4131754470999933
16,0.08103848830100831,0.2652421532351817,0.5037014276154549,0.14313368987280092,soft,0.0,0.1,soft_w0_l0.1,1.442255935277129,1.5009049582743486,1.4424291348614475,1.4541528125092174,1.4549160711190292,1.4725942152683682,1.4539413283612732,1.442255935277129
17,0.10502168463419631,0.6437444319645228,0.13032106658739875,0.10645694417874825,soft,0.0,0.1,soft_w0_l0.03,1.4396896802294714,1.531679219444016,1.4397080241456952,1.4582534075022646,1.4608949853926858,1.577456926304074,1.4844408583318658,1.4401765788554703
18,0.3042273191733007,0.2599965925488691,0.25607292040308177,0.14601797590948892,arithmetic,,,arithmetic,1.534776733497114,1.5508828409279827,1.5469227888137724,1.534776733497114,1.534824393118288,1.5648935061238256,1.5436776868283382,1.534776733497114
19,0.14190284759606295,0.18419660666270293,0.21427452225402036,0.10594235450078943,j2_a_then_b,,,geometric_w0.25,1.4335292808773747,1.4449028743288277,1.4354202109804544,1.4344432751223761,1.4344896119176092,1.4461406970182629,1.436647819059226,1.4354202109804544
20,0.08417219847795981,0.08439467560914463,0.36580921748641265,0.10869749658868672,soft,0.25,1.0,soft_w0_l1,1.4949471044509537,1.5222064781861449,1.4955637448364436,1.4999804477947027,1.5002534726128187,1.4989678073527952,1.49787062248832,1.495223149612926
21,0.2897614177768459,0.44910204730673525,0.2744686468257912,0.2028592473084034,soft,0.0,0.3,geometric_w0.25,1.5123318132726744,1.5572572889973504,1.520722214907093,1.515369455468418,1.515654450119977,1.5949953223234457,1.5324239405439803,1.519936301769266
22,0.37704586522760797,0.6943493316078014,0.1277690770529417,0.08710439333105241,geometric,0.25,,geometric_w0.25,1.4951940027004202,1.5669404802410714,1.5056848563439222,1.4996450203509215,1.5022742523271335,1.635211774412949,1.5389972588949439,1.4951940027004202
23,0.04663207549531981,0.06304230348348784,0.537991569050512,0.048537448877562214,soft,0.0,0.3,soft_w0_l0.3,1.4684204461153005,1.540030449422328,1.4684706191049421,1.4843706671376624,1.4863692428097415,1.4749003056723078,1.4776216531628317,1.4684204461153005
24,0.04632514640180432,0.3717366694321124,0.1284455189519632,0.060642749873870874,geometric,0.0,,soft_w0_l0.03,1.5492517233196408,1.584767867169746,1.549253142777589,1.5571690614291023,1.5575650488571573,1.5936588564298542,1.5663465113032438,1.549253142777589
25,0.06811327795559713,0.600198082785632,0.2870886124656031,0.1778453469231843,soft,0.0,0.03,soft_w0_l0.03,1.4473196841738867,1.5406313158798628,1.4474070743404481,1.465746534684339,1.4680854763254436,1.5602915472838912,1.4880182944847882,1.4473196841738867
26,0.07292313917363906,0.1294887402359963,0.2545515272641402,0.24627096926478403,soft,0.5,0.3,soft_w0.5_l1,1.5466579012893569,1.5572445977677212,1.5539079001982623,1.5476287631583239,1.547722538546798,1.549732827359232,1.5466579012893569,1.5469408010878711
27,0.06942788355474588,0.5979717993712009,0.06602546267840832,0.2020951163215871,j2_a_then_b,,,soft_w0_l0.03,1.519651651586498,1.593140312536888,1.5197987180912846,1.532112540340438,1.5342186161363094,1.6216288369329117,1.5559181307987398,1.5197987180912846
28,0.16173737459880685,0.6096947937906265,0.14552993483568163,0.11844942426207698,soft,0.0,0.1,soft_w0_l0.03,1.4192361177437436,1.5008325456274418,1.4192832540822198,1.4335366330630517,1.4360222657004433,1.529057915818156,1.4607310427575027,1.4196369707182916
29,0.5826648294157795,0.06001482343730429,0.1608607119157852,0.22363871919201367,soft,1.0,0.03,soft_w1_l0.03,1.5184615748289232,1.5185137467292675,1.6109057329929741,1.537079158320427,1.5394381544155218,1.644151096536406,1.560428752982504,1.5184615748289232
30,0.08067127351057136,0.05765211125152254,0.10587742436130138,0.05697750436689061,j1_b_then_a,,,arithmetic,1.4980154296717472,1.4996647493658246,1.4989674908785064,1.4980154296717472,1.4980165794545794,1.5007080482774047,1.4983686193729813,1.4996647493658246
31,0.27020210707907005,0.07915649317817282,0.3110418628832115,0.6228492917092563,soft,0.75,0.1,soft_w0.75_l0.3,1.5397891321937662,1.545800632224261,1.6137412531399427,1.5501115637719722,1.5516230048826427,1.556572604944539,1.5477253717499733,1.5406014021990684
