regime,seed,gamma,method,factorization_tv,joint_nll,joint_brier,tv_to_truth,marginal_distortion,reconciliation_distortion,tax_vs_best_order,tax_vs_selected_order,soft_weight,soft_lambda,pool_weight,selected_order_name,selected_policy
trusted_marginals,0,2.0,j1,0.07865568191481347,1.4606125508006975,0.6708184407536767,0.05123216684342774,0.01933060074319382,0.0033176622839261906,0.004617263395669369,0.0,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,j2,0.07865568191481347,1.4559952874050281,0.6699281253359728,0.05310882089226585,0.020306057260508575,0.0033176622839261906,0.0,-0.004617263395669369,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,selected_order,0.07865568191481347,1.4606125508006975,0.6708184407536767,0.05123216684342774,0.01933060074319382,0.0033176622839261906,0.004617263395669369,0.0,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,independent,0.07865568191481347,1.671984402918757,0.7114135830404517,0.25292235862645707,3.9546829895022175e-17,0.06537559145583566,0.2159891155137288,0.21137185211805942,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,arithmetic,0.07865568191481347,1.4512725860703095,0.6683783752485257,0.040091053214976614,0.01981832900185117,0.0016764709247717555,-0.0047227013347186375,-0.009339964730388006,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,geometric,0.07865568191481347,1.451584897419973,0.6685060527297487,0.040026958957958526,0.0199116383017981,0.0016774049953452155,-0.004410389985055163,-0.009027653380724532,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,weighted_geometric,0.07865568191481347,1.451584897419973,0.6685060527297487,0.040026958957958526,0.0199116383017981,0.0016774049953452155,-0.004410389985055163,-0.009027653380724532,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,hard_core,0.07865568191481347,1.4439424613148513,0.6655353932989264,0.02138486235388664,1.0022957427403573e-13,0.0028217075858932602,-0.012052826090176882,-0.01667008948584625,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,adaptive_soft,0.07865568191481347,1.4447408321487605,0.6656116550266266,0.02299964254032988,0.00034688674248897923,0.002927809787526918,-0.01125445525626767,-0.01587171865193704,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,0,2.0,selective_core,0.07865568191481347,1.4447111715582865,0.6655889263421002,0.022952138811104607,3.194357858738936e-14,0.0029686155675290628,-0.011284115846741605,-0.015901379242410973,0.25,100.0,0.5,j1_b_then_a,mpr
trusted_marginals,1,2.0,j1,0.09107660527698214,1.4753678951584692,0.6893803713952945,0.0663962432455248,0.02659188860311524,0.003899919111362091,0.005691379643729011,0.005691379643729011,0.25,10.0,0.25,j2_a_then_b,soft
trusted_marginals,1,2.0,j2,0.09107660527698214,1.4696765155147402,0.6830311350342677,0.051374160582339574,0.018307247423970215,0.003899919111362091,0.0,0.0,0.25,10.0,0.25,j2_a_then_b,soft
trusted_marginals,1,2.0,selected_order,0.09107660527698214,1.4696765155147402,0.6830311350342677,0.051374160582339574,0.018307247423970215,0.003899919111362091,0.0,0.0,0.25,10.0,0.25,j2_a_then_b,soft
trusted_marginals,1,2.0,independent,0.09107660527698214,1.5603510637077334,0.7059417535912064,0.14343373603848722,4.322887534047304e-17,0.02978445377247853,0.09067454819299314,0.09067454819299314,0.25,10.0,0.25,j2_a_then_b,soft
trusted_marginals,1,2.0,arithmetic,0.09107660527698214,1.464889749366997,0.6834114208900616,0.04555185415059278,0.0224495680135427,0.0019682868687265946,-0.004786766147743204,-0.004786766147743204,0.25,10.0,0.25,j2_a_then_b,soft
