dataset,model,selective_minus_arithmetic
anneal,catboost,0.01995476453046463
anneal,tabiclv2,-0.0012437949868976395
anneal,tabpfn3,0.0007375834323303243
car,catboost,-0.00460288404185083
car,tabiclv2,0.003857517717610781
car,tabpfn3,7.394425839279961e-05
credit,catboost,-0.0011409811166933626
credit,tabiclv2,0.00681225938505392
credit,tabpfn3,-0.0021705249907031376
customer,catboost,0.0030661446490598543
customer,tabiclv2,0.005461672404693196
customer,tabpfn3,-4.394700090615267e-05
diamonds,catboost,0.0080852115514074
diamonds,tabiclv2,0.015732601804657964
diamonds,tabpfn3,-0.011209776601260657
marketing,catboost,0.0050611023261974974
marketing,tabiclv2,-9.601560861494107e-06
marketing,tabpfn3,-0.0036270545554750733
mic,catboost,0.004975570609738522
mic,tabiclv2,0.0006178346111774813
mic,tabpfn3,0.0008774823128306908
nursery,catboost,0.006821921332685443
nursery,tabiclv2,0.021924969650545245
nursery,tabpfn3,-0.019007801353390974
phishing,catboost,-0.009246066643468387
phishing,tabiclv2,0.01082137901903657
phishing,tabpfn3,0.0036345375315978146
wine,catboost,-0.015265000393878125
wine,tabiclv2,0.002961977063591137
wine,tabpfn3,0.00042400564686428943
