dataset,model,fold,family,selected_kind,selected_weight,selected_penalty,joint_nll,marginal_distortion
anneal,tabiclv2,1,raw_only,j1,0.5,,0.4379005838764512,0.0041948501789097
anneal,tabiclv2,1,pool_only,geometric,1.0,,0.4379005838764511,0.0041948501789097
anneal,tabiclv2,1,repair_only,soft,1.0,0.03,0.4379659272062236,0.0041283824863602
anneal,tabiclv2,1,full,j1,0.5,,0.4379005838764512,0.0041948501789097
anneal,tabiclv2,2,raw_only,j2,0.5,,0.3175793819667871,0.012861755017463
anneal,tabiclv2,2,pool_only,geometric,0.0,,0.3175793819667871,0.012861755017463
anneal,tabiclv2,2,repair_only,hard,0.0,,0.312948275978388,1.884285210569122e-13
anneal,tabiclv2,2,full,hard,0.0,,0.312948275978388,1.884285210569122e-13
anneal,tabiclv2,3,raw_only,j1,0.5,,0.2256106534894582,0.0053180046888476
anneal,tabiclv2,3,pool_only,geometric,1.0,,0.2256106534894582,0.0053180046888476
anneal,tabiclv2,3,repair_only,soft,1.0,0.03,0.225470973881298,0.0052157015183816
anneal,tabiclv2,3,full,j1,0.5,,0.2256106534894582,0.0053180046888476
anneal,tabiclv2,4,raw_only,j2,0.5,,0.4932314890133299,0.0064123448055381
anneal,tabiclv2,4,pool_only,geometric,0.0,,0.4932314890133299,0.0064123448055381
anneal,tabiclv2,4,repair_only,soft,0.0,0.03,0.4934082667985226,0.0062589793082459
anneal,tabiclv2,4,full,j2,0.5,,0.4932314890133299,0.0064123448055381
anneal,tabiclv2,5,raw_only,j2,0.5,,0.293983622038344,0.0132150634607391
anneal,tabiclv2,5,pool_only,geometric,0.0,,0.2939836220383441,0.0132150634607391
anneal,tabiclv2,5,repair_only,soft,0.0,0.03,0.2944359651480731,0.0128511901217591
anneal,tabiclv2,5,full,j2,0.5,,0.293983622038344,0.0132150634607391
anneal,tabpfn3,1,raw_only,j1,0.5,,0.4371185801198635,0.004218124426883
anneal,tabpfn3,1,pool_only,geometric,1.0,,0.4371185801198635,0.004218124426883
anneal,tabpfn3,1,repair_only,soft,1.0,0.03,0.4373000994140724,0.0041567878258604
anneal,tabpfn3,1,full,j1,0.5,,0.4371185801198635,0.004218124426883
anneal,tabpfn3,2,raw_only,j1,0.5,,0.3404503121721343,0.0053767171518401
anneal,tabpfn3,2,pool_only,geometric,0.5,,0.340537620382131,0.0080046532938274
anneal,tabpfn3,2,repair_only,hard,0.0,,0.3465721179176476,1.662791326899438e-13
anneal,tabpfn3,2,full,hard,0.0,,0.3465721179176476,1.662791326899438e-13
anneal,tabpfn3,3,raw_only,j1,0.5,,0.2432475099607935,0.0046836129439361
anneal,tabpfn3,3,pool_only,geometric,1.0,,0.2432475099607935,0.0046836129439361
anneal,tabpfn3,3,repair_only,soft,1.0,0.03,0.2432894417299085,0.0045854494194344
anneal,tabpfn3,3,full,j1,0.5,,0.2432475099607935,0.0046836129439361
anneal,tabpfn3,4,raw_only,j1,0.5,,0.5354183704937521,0.0055171233486854
anneal,tabpfn3,4,pool_only,geometric,0.5,,0.5085492219986909,0.0091664099138537
anneal,tabpfn3,4,repair_only,soft,0.0,3.0,0.5117206046548277,0.0049513694381789
anneal,tabpfn3,4,full,soft,0.0,3.0,0.5117206046548277,0.0049513694381789
anneal,tabpfn3,5,raw_only,j2,0.5,,0.2957162741221314,0.0056150598942315
anneal,tabpfn3,5,pool_only,geometric,0.25,,0.2994434491004314,0.0044331656352891
anneal,tabpfn3,5,repair_only,hard,0.0,,0.310528156414432,7.333123632040529e-14
anneal,tabpfn3,5,full,hard,0.0,,0.310528156414432,7.333123632040529e-14
anneal,catboost,1,raw_only,j2,0.5,,0.86874054706974,0.0412362485896041
anneal,catboost,1,pool_only,geometric,0.0,,0.8687405470697401,0.0412362485896041
anneal,catboost,1,repair_only,soft,0.0,0.03,0.8673925991755878,0.0401043962571755
anneal,catboost,1,full,j2,0.5,,0.86874054706974,0.0412362485896041
anneal,catboost,2,raw_only,j2,0.5,,0.8583225062587453,0.0248495009259558
anneal,catboost,2,pool_only,geometric,0.0,,0.8583225062587452,0.0248495009259558
anneal,catboost,2,repair_only,soft,0.0,0.03,0.8564101435361096,0.0240943525675118
anneal,catboost,2,full,j2,0.5,,0.8583225062587453,0.0248495009259558
anneal,catboost,3,raw_only,j2,0.5,,0.7320461708487092,0.0286782974926906
anneal,catboost,3,pool_only,geometric,0.0,,0.732046170848709,0.0286782974926906
anneal,catboost,3,repair_only,soft,0.0,0.03,0.7314829087623627,0.0279575225876382
anneal,catboost,3,full,j2,0.5,,0.7320461708487092,0.0286782974926906
anneal,catboost,4,raw_only,j2,0.5,,1.0726544986063558,0.0512166602243996
anneal,catboost,4,pool_only,geometric,0.0,,1.072654498606356,0.0512166602243996
anneal,catboost,4,repair_only,soft,0.0,0.03,1.0702239651072183,0.0497847307491903
anneal,catboost,4,full,geometric,0.0,,1.072654498606356,0.0512166602243996
anneal,catboost,5,raw_only,j1,0.5,,0.9381348908842498,0.0119247671977338
anneal,catboost,5,pool_only,geometric,1.0,,0.9381348908842498,0.0119247671977338
anneal,catboost,5,repair_only,hard,0.0,,0.9421155888371072,5.5170643986461604e-17
anneal,catboost,5,full,hard,0.0,,0.9421155888371072,5.5170643986461604e-17
diamonds,tabiclv2,1,raw_only,j1,0.5,,2.1690316575206814,0.0283124974049192
diamonds,tabiclv2,1,pool_only,arithmetic,0.5,,2.1275489648737484,0.0389802186738571
diamonds,tabiclv2,1,repair_only,soft,0.75,0.03,2.1459270372779926,0.0329867647531491
diamonds,tabiclv2,1,full,arithmetic,0.5,,2.1275489648737484,0.0389802186738571
diamonds,tabiclv2,2,raw_only,j1,0.5,,2.1351811895028603,0.0284745773697011
diamonds,tabiclv2,2,pool_only,geometric,1.0,,2.1351811895028607,0.0284745773697012
diamonds,tabiclv2,2,repair_only,soft,1.0,0.03,2.1337233213258484,0.0277042240148457
diamonds,tabiclv2,2,full,j1,0.5,,2.1351811895028603,0.0284745773697011
diamonds,tabiclv2,3,raw_only,j2,0.5,,2.347010319268134,0.0681121559592589
diamonds,tabiclv2,3,pool_only,geometric,0.25,,2.30930557341892,0.0580138304038684
diamonds,tabiclv2,3,repair_only,soft,0.25,0.3,2.295075139141744,0.0444992950873942
diamonds,tabiclv2,3,full,soft,0.25,0.3,2.295075139141744,0.0444992950873942
diamonds,tabiclv2,4,raw_only,j2,0.5,,2.133415635999328,0.0595224523361614
diamonds,tabiclv2,4,pool_only,geometric,0.25,,2.1233836685117886,0.0507631474457295
diamonds,tabiclv2,4,repair_only,soft,0.25,0.03,2.1232811107081924,0.0492572233901219
diamonds,tabiclv2,4,full,soft,0.25,0.03,2.1232811107081924,0.0492572233901219
diamonds,tabiclv2,5,raw_only,j1,0.5,,2.2422927264191705,0.0260007513491206
diamonds,tabiclv2,5,pool_only,geometric,1.0,,2.2422927264191705,0.0260007513491206
diamonds,tabiclv2,5,repair_only,soft,1.0,0.03,2.2421328340031,0.0252484049308607
diamonds,tabiclv2,5,full,j1,0.5,,2.2422927264191705,0.0260007513491206
diamonds,tabpfn3,1,raw_only,j2,0.5,,2.145508618072558,0.02974476150342
diamonds,tabpfn3,1,pool_only,geometric,0.25,,2.140443916055543,0.0257412348976421
diamonds,tabpfn3,1,repair_only,hard,1.0,,2.147269967520144,1.3261359623463532e-14
diamonds,tabpfn3,1,full,hard,1.0,,2.147269967520144,1.3261359623463532e-14
diamonds,tabpfn3,2,raw_only,j2,0.5,,2.1762327913051145,0.0203852657134817
diamonds,tabpfn3,2,pool_only,geometric,0.25,,2.1767603451627613,0.0191037757131835
diamonds,tabpfn3,2,repair_only,hard,1.0,,2.1736715178799457,2.3499057072216293e-13
diamonds,tabpfn3,2,full,hard,1.0,,2.1736715178799457,2.3499057072216293e-13
diamonds,tabpfn3,3,raw_only,j1,0.5,,2.294007046310683,0.0128416093610678
diamonds,tabpfn3,3,pool_only,geometric,0.5,,2.3260825904371885,0.0198074616539547
diamonds,tabpfn3,3,repair_only,hard,1.0,,2.3029380257045484,5.09030812987488e-14
diamonds,tabpfn3,3,full,hard,1.0,,2.3029380257045484,5.09030812987488e-14
diamonds,tabpfn3,4,raw_only,j2,0.5,,2.287321392079304,0.0262333868318152
diamonds,tabpfn3,4,pool_only,geometric,0.0,,2.287321392079304,0.0262333868318152
diamonds,tabpfn3,4,repair_only,soft,0.0,1.0,2.2669068959351204,0.0133321134616331
diamonds,tabpfn3,4,full,soft,0.0,1.0,2.2669068959351204,0.0133321134616331
diamonds,tabpfn3,5,raw_only,j2,0.5,,2.318755742501107,0.0256791659636469
diamonds,tabpfn3,5,pool_only,geometric,0.0,,2.318755742501107,0.0256791659636469
diamonds,tabpfn3,5,repair_only,soft,0.0,0.03,2.3197411118516715,0.0250059540141661
diamonds,tabpfn3,5,full,j2,0.5,,2.318755742501107,0.0256791659636469
diamonds,catboost,1,raw_only,j1,0.5,,2.6865818861872475,0.022065998496744
diamonds,catboost,1,pool_only,geometric,0.75,,2.676942175632444,0.0259520030040918
diamonds,catboost,1,repair_only,soft,0.75,0.03,2.676140280089536,0.0251907395250032
diamonds,catboost,1,full,geometric,0.75,,2.676942175632444,0.0259520030040918
diamonds,catboost,2,raw_only,j1,0.5,,2.7167475554705534,0.0221134538057358
diamonds,catboost,2,pool_only,geometric,0.75,,2.7025646121092604,0.0229877895664057
diamonds,catboost,2,repair_only,soft,0.75,0.03,2.7018058508866547,0.0223095861849104
diamonds,catboost,2,full,geometric,0.75,,2.7025646121092604,0.0229877895664057
diamonds,catboost,3,raw_only,j2,0.5,,2.784259337348531,0.0289130310102028
diamonds,catboost,3,pool_only,geometric,0.5,,2.781683544545558,0.0240536245442205
diamonds,catboost,3,repair_only,hard,1.0,,2.777009793152246,3.4757021208624984e-14
diamonds,catboost,3,full,hard,1.0,,2.777009793152246,3.4757021208624984e-14
diamonds,catboost,4,raw_only,j2,0.5,,2.8508326356943985,0.0366529075145143
diamonds,catboost,4,pool_only,geometric,0.0,,2.8508326356943985,0.0366529075145143
diamonds,catboost,4,repair_only,soft,0.0,1.0,2.84450115949078,0.0187929933797958
diamonds,catboost,4,full,soft,0.0,1.0,2.84450115949078,0.0187929933797958
diamonds,catboost,5,raw_only,j2,0.5,,2.8353499253409105,0.0396031841243969
diamonds,catboost,5,pool_only,geometric,0.5,,2.8426480616085783,0.0295066827166293
diamonds,catboost,5,repair_only,hard,1.0,,2.8625998033013165,9.202694487529806e-15
diamonds,catboost,5,full,hard,1.0,,2.8625998033013165,9.202694487529806e-15
car,tabiclv2,1,raw_only,j1,0.5,,1.3066759437840672,0.0343678888128922
car,tabiclv2,1,pool_only,geometric,0.75,,1.3067022365533092,0.0374590756542632
car,tabiclv2,1,repair_only,soft,0.75,0.03,1.3065350667107123,0.0370102277860164
car,tabiclv2,1,full,geometric,0.75,,1.3067022365533092,0.0374590756542632
car,tabiclv2,2,raw_only,j1,0.5,,1.2605630474602436,0.027916679627023
car,tabiclv2,2,pool_only,arithmetic,0.5,,1.2646294557311712,0.0322339797576635
car,tabiclv2,2,repair_only,soft,0.0,1.0,1.2787609616580888,0.0272765649096926
car,tabiclv2,2,full,arithmetic,0.5,,1.2646294557311712,0.0322339797576635
car,tabiclv2,3,raw_only,j1,0.5,,1.2232377131311667,0.0360341115631211
car,tabiclv2,3,pool_only,arithmetic,0.5,,1.2645004140327785,0.0346553414762209
car,tabiclv2,3,repair_only,soft,0.5,1.0,1.2691667449062012,0.0282696290021725
car,tabiclv2,3,full,soft,0.5,1.0,1.2691667449062012,0.0282696290021725
car,tabiclv2,4,raw_only,j2,0.5,,1.278453952806636,0.0356604728279108
car,tabiclv2,4,pool_only,geometric,0.25,,1.2604066191576453,0.0347222427311042
car,tabiclv2,4,repair_only,soft,0.25,0.03,1.2603408415425132,0.0342054505583985
car,tabiclv2,4,full,geometric,0.25,,1.2604066191576453,0.0347222427311042
car,tabiclv2,5,raw_only,j2,0.5,,1.3132712188582834,0.0415451492942485
car,tabiclv2,5,pool_only,geometric,0.25,,1.2806813617245032,0.0408473994376565
car,tabiclv2,5,repair_only,soft,0.25,0.03,1.2796752960776392,0.0403101751794631
car,tabiclv2,5,full,geometric,0.25,,1.2806813617245032,0.0408473994376565
car,tabpfn3,1,raw_only,j1,0.5,,1.304720130149433,0.0397395624346515
car,tabpfn3,1,pool_only,geometric,0.75,,1.3101591130722596,0.040706354431008
car,tabpfn3,1,repair_only,soft,0.75,0.03,1.310092839088827,0.0402401431624
car,tabpfn3,1,full,geometric,0.75,,1.3101591130722596,0.040706354431008
car,tabpfn3,2,raw_only,j2,0.5,,1.3400146272572342,0.0251591069492011
car,tabpfn3,2,pool_only,arithmetic,0.5,,1.3037716117604026,0.0262330683956122
car,tabpfn3,2,repair_only,soft,0.0,3.0,1.333424976308928,0.0125760889329544
car,tabpfn3,2,full,arithmetic,0.5,,1.3037716117604026,0.0262330683956122
car,tabpfn3,3,raw_only,j2,0.5,,1.3879965949122346,0.0367024739843614
car,tabpfn3,3,pool_only,geometric,0.5,,1.286706488559176,0.0405142296590101
car,tabpfn3,3,repair_only,soft,0.5,1.0,1.2998941288639778,0.0292820215095645
car,tabpfn3,3,full,soft,0.5,1.0,1.2998941288639778,0.0292820215095645
car,tabpfn3,4,raw_only,j2,0.5,,1.3261012263187657,0.0351126719363577
car,tabpfn3,4,pool_only,geometric,0.25,,1.2874040144049577,0.0363558757127289
car,tabpfn3,4,repair_only,hard,1.0,,1.2934609213417845,1.9513835036396252e-13
car,tabpfn3,4,full,hard,1.0,,1.2934609213417845,1.9513835036396252e-13
car,tabpfn3,5,raw_only,j1,0.5,,1.2447479429323358,0.0377003665802826
car,tabpfn3,5,pool_only,geometric,0.5,,1.263777886355958,0.041077953384048
car,tabpfn3,5,repair_only,soft,0.5,0.1,1.2631655692278354,0.0395096591786708
car,tabpfn3,5,full,soft,0.5,0.1,1.2631655692278354,0.0395096591786708
car,catboost,1,raw_only,j1,0.5,,1.588270437699967,0.0238944540160489
car,catboost,1,pool_only,geometric,1.0,,1.588270437699967,0.0238944540160489
car,catboost,1,repair_only,hard,0.5,,1.5988843636478494,5.01612552222027e-13
car,catboost,1,full,hard,0.5,,1.5988843636478494,5.01612552222027e-13
car,catboost,2,raw_only,j1,0.5,,1.5889965690309105,0.0224568194776223
car,catboost,2,pool_only,geometric,1.0,,1.5889965690309105,0.0224568194776223
car,catboost,2,repair_only,soft,1.0,10.0,1.5577027301650113,0.0031208111317036
car,catboost,2,full,soft,1.0,10.0,1.5577027301650113,0.0031208111317036
car,catboost,3,raw_only,j2,0.5,,1.7376805320460422,0.0484874444292393
car,catboost,3,pool_only,geometric,0.0,,1.7376805320460422,0.0484874444292394
car,catboost,3,repair_only,hard,1.0,,1.703064287213722,9.045332672707585e-13
car,catboost,3,full,hard,1.0,,1.703064287213722,9.045332672707585e-13
car,catboost,4,raw_only,j1,0.5,,1.6772655721007663,0.0140963850932021
car,catboost,4,pool_only,geometric,1.0,,1.6772655721007663,0.0140963850932021
car,catboost,4,repair_only,soft,1.0,0.1,1.6744357580154867,0.0132616683777559
car,catboost,4,full,soft,1.0,0.1,1.6744357580154867,0.0132616683777559
car,catboost,5,raw_only,j1,0.5,,1.4897780252672073,0.0179048006815519
car,catboost,5,pool_only,geometric,0.75,,1.4946085344313746,0.0223879565467463
car,catboost,5,repair_only,soft,1.0,1.0,1.488487524377324,0.0115448397866241
car,catboost,5,full,soft,1.0,1.0,1.488487524377324,0.0115448397866241
nursery,tabiclv2,1,raw_only,j1,0.5,,1.4218274045517596,0.0353693226732658
nursery,tabiclv2,1,pool_only,geometric,1.0,,1.42182740455176,0.0353693226732658
nursery,tabiclv2,1,repair_only,soft,1.0,0.3,1.4177586430434568,0.0330957831610015
nursery,tabiclv2,1,full,soft,1.0,0.3,1.4177586430434568,0.0330957831610015
nursery,tabiclv2,2,raw_only,j1,0.5,,1.289570612105124,0.0367129971392071
nursery,tabiclv2,2,pool_only,geometric,1.0,,1.2895706121051238,0.0367129971392071
nursery,tabiclv2,2,repair_only,soft,1.0,3.0,1.3124827255669196,0.0273632004367221
nursery,tabiclv2,2,full,soft,1.0,3.0,1.3124827255669196,0.0273632004367221
nursery,tabiclv2,3,raw_only,j1,0.5,,1.5493262625434745,0.049647078769596
nursery,tabiclv2,3,pool_only,geometric,1.0,,1.5493262625434745,0.049647078769596
nursery,tabiclv2,3,repair_only,soft,1.0,0.03,1.5465116290150676,0.0493874367237399
nursery,tabiclv2,3,full,j1,0.5,,1.5493262625434745,0.049647078769596
nursery,tabiclv2,4,raw_only,j1,0.5,,1.3228667203965958,0.041545284418588
nursery,tabiclv2,4,pool_only,geometric,0.5,,1.2975675087969694,0.0453882154653229
nursery,tabiclv2,4,repair_only,soft,1.0,10.0,1.3127604730014406,0.0264219859691963
nursery,tabiclv2,4,full,soft,1.0,10.0,1.3127604730014406,0.0264219859691963
nursery,tabiclv2,5,raw_only,j1,0.5,,1.3348217534606377,0.0353938144574531
nursery,tabiclv2,5,pool_only,geometric,1.0,,1.3348217534606377,0.0353938144574531
nursery,tabiclv2,5,repair_only,soft,1.0,0.03,1.3347431886865284,0.0351883132416453
nursery,tabiclv2,5,full,j1,0.5,,1.3348217534606377,0.0353938144574531
nursery,tabpfn3,1,raw_only,j1,0.5,,1.4026717376630673,0.0329592400015923
nursery,tabpfn3,1,pool_only,geometric,1.0,,1.4026717376630673,0.0329592400015923
nursery,tabpfn3,1,repair_only,soft,1.0,0.03,1.403118338304675,0.0327010476985198
nursery,tabpfn3,1,full,j1,0.5,,1.4026717376630673,0.0329592400015923
nursery,tabpfn3,2,raw_only,j1,0.5,,1.3245263416928088,0.0303705474341145
nursery,tabpfn3,2,pool_only,geometric,1.0,,1.3245263416928088,0.0303705474341145
nursery,tabpfn3,2,repair_only,soft,1.0,0.3,1.3351931211009416,0.0280610089023951
nursery,tabpfn3,2,full,soft,1.0,0.3,1.3351931211009416,0.0280610089023951
nursery,tabpfn3,3,raw_only,j1,0.5,,1.3596981198931042,0.0402546338659345
nursery,tabpfn3,3,pool_only,geometric,1.0,,1.3596981198931042,0.0402546338659345
nursery,tabpfn3,3,repair_only,soft,1.0,0.03,1.360727008876033,0.0400619198079954
nursery,tabpfn3,3,full,j1,0.5,,1.3596981198931042,0.0402546338659345
nursery,tabpfn3,4,raw_only,j1,0.5,,1.271742838021682,0.0300652455654817
nursery,tabpfn3,4,pool_only,geometric,1.0,,1.271742838021682,0.0300652455654817
nursery,tabpfn3,4,repair_only,soft,1.0,0.03,1.2713734330981856,0.0298315906784358
nursery,tabpfn3,4,full,j1,0.5,,1.271742838021682,0.0300652455654817
nursery,tabpfn3,5,raw_only,j1,0.5,,1.353399143083391,0.0368296181655261
nursery,tabpfn3,5,pool_only,geometric,1.0,,1.353399143083391,0.0368296181655261
nursery,tabpfn3,5,repair_only,soft,1.0,0.03,1.353559943391503,0.0365758001017741
nursery,tabpfn3,5,full,j1,0.5,,1.353399143083391,0.0368296181655261
nursery,catboost,1,raw_only,j2,0.5,,1.659021502747338,0.0350936616548419
nursery,catboost,1,pool_only,geometric,0.25,,1.6514690750569798,0.0345701303354541
nursery,catboost,1,repair_only,soft,1.0,3.0,1.6520050312078072,0.0241605249404501
nursery,catboost,1,full,soft,1.0,3.0,1.6520050312078072,0.0241605249404501
nursery,catboost,2,raw_only,j1,0.5,,1.5210735409616634,0.0310746426957664
nursery,catboost,2,pool_only,geometric,0.75,,1.5232381573486524,0.0321944951745705
nursery,catboost,2,repair_only,soft,1.0,1.0,1.5305499532048046,0.0259302379847497
nursery,catboost,2,full,soft,1.0,1.0,1.5305499532048046,0.0259302379847497
nursery,catboost,3,raw_only,j2,0.5,,1.7081680559957817,0.0364437548218009
nursery,catboost,3,pool_only,geometric,0.0,,1.7081680559957817,0.0364437548218009
nursery,catboost,3,repair_only,soft,0.0,0.03,1.7075089968414892,0.0362772848981899
nursery,catboost,3,full,soft,0.0,0.03,1.7075089968414892,0.0362772848981899
nursery,catboost,4,raw_only,j1,0.5,,1.5104105290862784,0.035242412066634
nursery,catboost,4,pool_only,geometric,0.75,,1.508063618671006,0.0346240920542901
nursery,catboost,4,repair_only,soft,0.75,1.0,1.5157416103599977,0.0261191634538641
nursery,catboost,4,full,soft,0.75,1.0,1.5157416103599977,0.0261191634538641
nursery,catboost,5,raw_only,j2,0.5,,1.5556861498234098,0.0259534808818257
nursery,catboost,5,pool_only,geometric,0.25,,1.5505098422640873,0.0270437004228544
nursery,catboost,5,repair_only,soft,0.5,3.0,1.555613321898138,0.0202357388268285
nursery,catboost,5,full,soft,0.5,3.0,1.555613321898138,0.0202357388268285
wine,tabiclv2,1,raw_only,j2,0.5,,1.0665908714579242,0.0017420365916409
wine,tabiclv2,1,pool_only,geometric,0.0,,1.0665908714579242,0.001742036591641
