dataset,model,selected_policy,outer_folds
anneal,catboost,geometric,1
anneal,catboost,j2_a_then_b,3
anneal,catboost,mpr,1
anneal,tabiclv2,j1_b_then_a,2
anneal,tabiclv2,j2_a_then_b,2
anneal,tabiclv2,mpr,1
anneal,tabpfn3,j1_b_then_a,2
anneal,tabpfn3,mpr,2
anneal,tabpfn3,soft,1
car,catboost,mpr,2
car,catboost,soft,3
car,tabiclv2,arithmetic,1
car,tabiclv2,geometric,3
car,tabiclv2,soft,1
car,tabpfn3,arithmetic,1
car,tabpfn3,geometric,1
car,tabpfn3,mpr,1
car,tabpfn3,soft,2
credit,catboost,geometric,1
credit,catboost,j1_b_then_a,1
credit,catboost,j2_a_then_b,1
credit,catboost,mpr,1
credit,catboost,soft,1
credit,tabiclv2,j1_b_then_a,1
credit,tabiclv2,j2_a_then_b,1
credit,tabiclv2,mpr,1
credit,tabiclv2,soft,2
credit,tabpfn3,geometric,2
credit,tabpfn3,j1_b_then_a,1
credit,tabpfn3,j2_a_then_b,2
customer,catboost,geometric,1
customer,catboost,j1_b_then_a,1
customer,catboost,j2_a_then_b,1
customer,catboost,mpr,1
customer,catboost,soft,1
customer,tabiclv2,geometric,1
customer,tabiclv2,mpr,2
customer,tabiclv2,soft,2
customer,tabpfn3,j1_b_then_a,2
customer,tabpfn3,mpr,3
diamonds,catboost,geometric,2
diamonds,catboost,mpr,2
diamonds,catboost,soft,1
diamonds,tabiclv2,arithmetic,1
diamonds,tabiclv2,j1_b_then_a,2
diamonds,tabiclv2,soft,2
diamonds,tabpfn3,j2_a_then_b,1
diamonds,tabpfn3,mpr,3
diamonds,tabpfn3,soft,1
marketing,catboost,j2_a_then_b,1
marketing,catboost,mpr,4
marketing,tabiclv2,j1_b_then_a,1
marketing,tabiclv2,mpr,3
marketing,tabiclv2,soft,1
marketing,tabpfn3,j1_b_then_a,2
marketing,tabpfn3,j2_a_then_b,1
marketing,tabpfn3,mpr,1
marketing,tabpfn3,soft,1
mic,catboost,j1_b_then_a,4
mic,catboost,j2_a_then_b,1
mic,tabiclv2,j2_a_then_b,2
mic,tabiclv2,mpr,1
mic,tabiclv2,soft,2
mic,tabpfn3,geometric,1
mic,tabpfn3,j1_b_then_a,2
mic,tabpfn3,mpr,1
mic,tabpfn3,soft,1
nursery,catboost,soft,5
nursery,tabiclv2,j1_b_then_a,2
nursery,tabiclv2,soft,3
nursery,tabpfn3,j1_b_then_a,4
nursery,tabpfn3,soft,1
phishing,catboost,soft,5
phishing,tabiclv2,geometric,3
phishing,tabiclv2,j1_b_then_a,1
phishing,tabiclv2,soft,1
phishing,tabpfn3,geometric,1
phishing,tabpfn3,j1_b_then_a,1
phishing,tabpfn3,j2_a_then_b,2
phishing,tabpfn3,soft,1
wine,catboost,j1_b_then_a,3
wine,catboost,soft,2
wine,tabiclv2,geometric,1
wine,tabiclv2,j1_b_then_a,2
wine,tabiclv2,soft,2
wine,tabpfn3,arithmetic,1
wine,tabpfn3,geometric,1
wine,tabpfn3,j1_b_then_a,1
wine,tabpfn3,soft,2
